order_id,order_created_date,product_name,quantity,total_price_br,total_price_usd
1,'2024-12-01',Product_11,1,69.06,376.863231853866
2,'2024-12-01',Product_17,2,197.02,1075.1461618860221
3,'2024-12-01',Product_19,1,51.94,283.438694794234
4,'2024-12-01',Product_12,1,50.99,278.254506113939
5,'2024-12-01',Product_11,2,138.12,753.726463707732
6,'2024-12-01',Product_17,1,98.51,537.5730809430111
7,'2024-12-01',Product_5,5,222.95000000000002,1216.647227654495
8,'2024-12-01',Product_5,4,178.36,973.3177821235961
9,'2024-12-02',Product_5,2,89.18,486.65889106179804
10,'2024-12-02',Product_1,4,370.2,2020.19647310022
11,'2024-12-02',Product_15,5,488.6,2666.31009388646
12,'2024-12-02',Product_7,4,399.84,2181.943159925424
13,'2024-12-02',Product_13,3,46.589999999999996,254.243526963099
14,'2024-12-03',Product_13,5,77.64999999999999,423.73921160516494
15,'2024-12-03',Product_5,3,133.77,729.988336592697
16,'2024-12-03',Product_2,2,86.22,470.50605054214196
17,'2024-12-05',Product_17,1,98.51,537.5730809430111
18,'2024-12-05',Product_6,2,32.54,177.572104901894
19,'2024-12-05',Product_1,4,370.2,2020.19647310022
20,'2024-12-05',Product_5,1,44.59,243.32944553089902
21,'2024-12-05',Product_7,4,399.84,2181.943159925424
22,'2024-12-05',Product_3,2,118.04,644.149086128444
23,'2024-12-06',Product_18,2,20.22,110.341363279542
24,'2024-12-06',Product_5,1,44.59,243.32944553089902
25,'2024-12-06',Product_20,3,113.55000000000001,619.6469733131551
26,'2024-12-06',Product_20,4,151.4,826.19596441754
27,'2024-12-06',Product_19,5,259.7,1417.1934739711699
28,'2024-12-06',Product_20,5,189.25,1032.744955521925
29,'2024-12-06',Product_11,1,69.06,376.863231853866
30,'2024-12-06',Product_18,2,20.22,110.341363279542
31,'2024-12-06',Product_5,1,44.59,243.32944553089902
32,'2024-12-06',Product_4,5,248.25,1354.7103577718249
33,'2024-12-07',Product_18,4,40.44,220.682726559084
34,'2024-12-07',Product_18,4,40.44,220.682726559084
35,'2024-12-07',Product_7,3,299.88,1636.457369944068
36,'2024-12-07',Product_13,5,77.64999999999999,423.73921160516494
37,'2024-12-09',Product_12,3,152.97,834.763518341817
38,'2024-12-09',Product_17,1,98.51,537.5730809430111
39,'2024-12-09',Product_14,4,182.24,994.491100102064
40,'2024-12-09',Product_19,4,207.76,1133.754779176936
41,'2024-12-09',Product_17,5,492.55,2687.865404715055
42,'2024-12-09',Product_19,4,207.76,1133.754779176936
43,'2024-12-09',Product_14,3,136.68,745.868325076548
44,'2024-12-10',Product_4,2,99.3,541.88414310873
45,'2024-12-10',Product_5,3,133.77,729.988336592697
46,'2024-12-10',Product_8,3,140.31,765.677382875991
47,'2024-12-10',Product_10,1,88.24,481.52927278866395
48,'2024-12-10',Product_14,3,136.68,745.868325076548
49,'2024-12-10',Product_6,1,16.27,88.786052450947
50,'2024-12-10',Product_19,5,259.7,1417.1934739711699
